Index,Message,Codeword
0,00000,111101
1,00001,011100
2,00010,001011
3,00011,010000
4,00100,000101
5,00101,101101
6,00110,101010
7,00111,101011
8,01000,001110
9,01001,110110
10,01010,111001
11,01011,100010
12,01100,100111
13,01101,000110
14,01110,001101
15,01111,011101
16,10000,000010
17,10001,010100
18,10010,011010
19,10011,001010
20,10100,011000
21,10101,110101
22,10110,111000
23,10111,100110
24,11000,110001
25,11001,100101
26,11010,110111
27,11011,011011
28,11100,101000
29,11101,111010
30,11110,010110
31,11111,101100
