Index,Message,Codeword
0,00000,011110
1,00001,001111
2,00010,100110
3,00011,110000
4,00100,001011
5,00101,010110
6,00110,111010
7,00111,110110
8,01000,011100
9,01001,000011
10,01010,101001
11,01011,000101
12,01100,100101
13,01101,100011
14,01110,011011
15,01111,001000
16,10000,110101
17,10001,010000
18,10010,101011
19,10011,000010
20,10100,100001
21,10101,011010
22,10110,010011
23,10111,111001
24,11000,101111
25,11001,111100
26,11010,111000
27,11011,010001
28,11100,110011
29,11101,110001
30,11110,001001
31,11111,011000
